"Higher Education Discipline Groups",,"ASCED Filed of Education",
"0403","Physical/Materials Sciences","010301","Physics"
,,"010503","Inorganic Chemistry"
,,"030305","Materials Engineering"
"0404","Pharmacology","019907","Pharmacology"
,,"060501","Pharmacy"
"0405","Chemical Sciences","010501","Organic Chemistry"
,,"010503","Inorganic Chemistry"
,,"010599","Chemical Sciences, n.e.c."
"0499","Other Sciences","010303","Astronomy"
,,"019903","Forensic Science"
,,"019905","Food Science and Biotechnology"
,,"019909","Laboratory Technology"
,,"019999","Natural and Physical Sciences, n.e.c."
"05","MATHEMATICS, COMPUTING",,
"0501","Mathematics, Statistics","010101","Mathematics"
,,"010103","Statistics"
,,"081103","Insurance and Actuarial Studies"
"0502","Computer-based Information Science","020103","Programming"
,,"020111","Data Structures"
,,"020115","Computer Graphics"
,,"020303","Database Management"
,,"020399","Information Systems, n.e.c."
,,"029999","Information Technology, n.e.c."
"0503","Computer Science","020101","Formal Language Theory"
,,"020105","Computational Theory"
,,"020107","Compiler Construction"
,,"020109","Algorithms"
,,"020113","Networks and Communications"
,,"020117","Operating Systems"
,,"020119","Artificial Intelligence"
,,"020199","Computer Science, n.e.c."
,,"020301","Conceptual Modelling"
,,"020305","Systems Analysis and Design"
,,"020307","Decision Support Systems"
,,"020399","Information Systems, n.e.c."
,,"029901","Security Science"
,,"029999","Information Technology, n.e.c."
"0599","Other Mathematics, Computing","010199","Mathematical Sciences, n.e.c."
"06","VISUAL/PERFORMING ARTS",,
"0601","Art","070199","Teacher Education, n.e.c."
,,"090305","History"
,,"091303","Curatorial Studies"
,,"100301","Fine Arts"
,,"100303","Photography"
,,"100305","Crafts"
,,"100399","Visual Arts and Crafts, n.e.c."
,,"100701","Audio Visual Studies"
"0602","Graphic Arts/Fashion Design","100501","Graphic Arts and Design Studies"
,,"100505","Fashion Design"
,,"100599","Graphic and Design Studies, n.e.c."
"0603","Craft, Ornaments","100305","Crafts"
,,"100307","Jewellery Making"
,,"100309","Floristry"
,,"100503","Textile Design"
"0604","Performing Arts","100103","Drama and Theatre Studies"
,,"100105","Dance"
,,"100199","Performing Arts, n.e.c."
"0605","Music","100101","Music"
"0699","Other Visual/Performing Arts","109999","Creative Arts, n.e.c."
"07","ENGINEERING, PROCESSING",,
"0701","Chemical","030301","Chemical Engineering"
,,"030713","Metal Casting and Patternmaking"
"0702","Civil, Structural","010711","Hydrology"
,,"030901","Construction Engineering"
,,"030903","Structural Engineering"
,,"030905","Building Services Engineering"
,,"030907","Water and Sanitary Engineering"
,,"030909","Transport Engineering"
,,"030911","Geotechnical Engineering"
,,"030913","Ocean Engineering"
,,"030999","Civil Engineering, n.e.c."
,,"039901","Environmental Engineering"
,,"040301","Building Science and Technology"
"0703","Electrical, Electronic, Computer, Communications","031301","Electrical Engineering"
,,"031303","Electronic Engineering"
,,"031305","Computer Engineering"
,,"031307","Communications Technologies"
,,"031309","Communications Equipment Installation and Maintenance"
,,"031311","Powerline Installation and Maintenance"
,,"031313","Electrical Fitting, Electrical Mechanics"
,,"031315","Refrigeration and Air Conditioning Mechanics"
,,"031317","Electronic Equipment Servicing"
,,"031399","Electrical and Electronic Engineering and Technology, n.e.c."
"0704","Mechanical, Automotive, Aeronautical","030501","Automotive Engineering"
,,"030503","Vehicle Mechanics"
,,"030505","Automotive Electrics and Electronics"
,,"030507","Automotive Vehicle Refinishing"
,,"030509","Automotive Body Construction"
,,"030511","Panel Beating"
,,"030513","Upholstery and Vehicle Trimming"
,,"030701","Mechanical Engineering"
,,"030705","Toolmaking"
,,"030707","Metal Fitting, Turning and Machining"
,,"030709","Sheetmetal Working"
,,"030711","Boilermaking and Welding"
,,"030715","Precision Metalworking"
,,"030717","Plant and Machine Operations"
,,"030799","Mechanical and Industrial Engineering and Technology, n.e.c."
,,"031501","Aerospace Engineering"
,,"031503","Aircraft Maintenance Engineering"
,,"031505","Aircraft Operation"
,,"031507","Air Traffic Control"
,,"031599","Aerospace Engineering and Technology, n.e.c."
,,"039999","Engineering and Related Technologies, n.e.c."
"0705","Mining","030303","Mining Engineering"
,,"030305","Materials Engineering"
"0706","Industrial, Processing","030101","Manufacturing Engineering"
,,"030703","Industrial Engineering"
,,"030713","Metal Casting and Patternmaking"
"0789","General Engineering","0","No correspondence"
"0799","Other Engineering, Processing","030103","Printing"
,,"030105","Textile Making"
,,"030107","Garment Making"
,,"030199","Manufacturing Engineering and Technology, n.e.c."
,,"030307","Food Processing Technology"
,,"030399","Process and Resources Engineering, n.e.c."
,,"031701","Maritime Engineering"
,,"031703","Marine Construction"
,,"031705","Marine Craft Operation"
,,"031799","Maritime Engineering and Technology, n.e.c."
,,"039903","Biomedical Engineering"
,,"039905","Fire Technology"
,,"039907","Rail Operations"
,,"039909","Cleaning"
,,"039999","Engineering and Related Technologies, n.e.c."
"08","HEALTH SCIENCES",,
"0801","Medical Technology","061501","Radiography"
"0802","Therapies, Therapeutic Technology","061701","Physiotherapy"
,,"061703","Occupational Therapy"
,,"061705","Chiropractic and Osteopathy"
,,"061707","Speech Pathology"
,,"061709","Audiology"
,,"061711","Massage Therapy"
,,"061713","Podiatry"
,,"061799","Rehabilitation Therapies, n.e.c."
"0803","Nursing","060301","General Nursing"
,,"060303","Midwifery"
,,"060305","Mental Health Nursing"
,,"060307","Community Nursing"
,,"060309","Critical Care Nursing"
,,"060311","Aged Care Nursing"
,,"060313","Palliative Care Nursing"
,,"060315","Mothercraft Nursing and Family and Child Health Nursing"
,,"060399","Nursing, n.e.c."
"0804","Nutrition, Dietetics","069901","Nutrition and Dietetics"
"0805","Environmental Health","061301","Occupational Health and Safety"
,,"061303","Environmental Health"
,,"061311","Epidemiology"
,,"061399","Public Health, n.e.c."
"0806","Medicine, Medical Science","019901","Medical Science"
,,"060101","General Medicine"
,,"060103","Surgery"
,,"060105","Psychiatry"
,,"060107","Obstetrics and Gynaecology"
,,"060109","Paediatrics"
,,"060111","Anaesthesiology"
,,"060113","Pathology"
,,"060115","Radiology"
,,"060117","Internal Medicine"
,,"060119","General Practice"
,,"060199","Medical Studies, n.e.c."
"0807","Dentistry, Dental Services","060701","Dentistry"
,,"060703","Dental Assisting"
,,"060705","Dental Technology"
,,"060799","Dental Studies, n.e.c."
"0808","Optometry, Optical Technology","060901","Optometry"
,,"060903","Optical Technology"
,,"060999","Optical Science, n.e.c."
"0809","Community/Family/Personal Health Care","061305","Indigenous Health"
,,"061307","Health Promotion"
,,"061309","Community Health"
,,"090503","Children’s Services"
,,"090507","Care for the Aged"
,,"090509","Care for the Disabled"
,,"090511","Residential Client Care"
,,"090513","Counselling"
"0899","Other Health Sciences","061901","Naturopathy"
,,"061903","Acupuncture"
,,"061905","Traditional Chinese Medicine"
,,"061999","Complementary Therapies, n.e.c."
,,"069905","Paramedical Studies"
,,"069907","First Aid"
,,"069999","Health, n.e.c."
"09","ADMINISTRATION, BUSINESS, ECONOMICS, LAW",,
"0901","Economics","091901","Economics"
,,"091903","Econometrics"
"0902","Accounting","080101","Accounting"
"0903","Commerce, Sales, Services","080301","Business Management"
,,"080311","International Business"
,,"080399","Business and Management, n.e.c."
,,"080501","Sales"
,,"080503","Real Estate"
,,"080505","Marketing"
,,"080507","Advertising"
,,"080509","Public Relations"
,,"080599","Sales and Marketing, n.e.c."
,,"080701","Tourism"
,,"081101","Banking and Finance"
,,"081103","Insurance and Actuarial Studies"
,,"081105","Investment and Securities"
,,"081199","Banking, Finance and Related Fields, n.e.c."
,,"089901","Purchasing, Warehousing and Distribution"
,,"089903","Valuation"
,,"089999","Management and Commerce, n.e.c."
,,"110101","Hospitality"
"0904","Management, Administration","080303","Human Resource Management"
,,"080307","Organisation Management"
,,"080309","Industrial Relations"
,,"080313","Public and Health Care Administration"
,,"080315","Project Management"
,,"080317","Quality Management"
,,"080319","Hospitality Management"
,,"080321","Farm Management and Agribusiness"
,,"080323","Tourism Management"
,,"080399","Business and Management, n.e.c."
,,"089999","Management and Commerce, n.e.c."
,,"091301","Librarianship and Information Management"
"0905","Secretarial Studies","080901","Secretarial and Clerical Studies"
,,"080903","Keyboard Skills"
,,"080905","Practical Computing Skills"
,,"080999","Office Studies, n.e.c."
"0906","Law","090901","Business and Commercial Law"
,,"090903","Constitutional Law"
,,"090905","Criminal Law"
,,"090907","Family Law"
,,"090909","International Law"
,,"090911","Taxation Law"
,,"090913","Legal Practice"
,,"090999","Law, n.e.c."
"0907","Justice and Legal Studies","091101","Justice Administration"
,,"091103","Legal Studies"
,,"091105","Police Studies"
,,"091199","Justice and Law Enforcement, n.e.c."
,,"099903","Criminology"
"0999","Other Administration, Business and Economics","080399","Business and Management, n.e.c."
,,"080599","Sales and Marketing, n.e.c."
,,"081199","Banking, Finance and Related Fields, n.e.c."
"10","BUILT ENVIRONMENT",,
"1001","Architecture","040101","Architecture"
"1002","Environmental/Product Design","040103","Urban Design and Regional Planning"
,,"040105","Landscape Architecture"
,,"040107","Interior and Environmental Design"
,,"100501","Graphic Arts and Design Studies"
"1003","Building, Construction","040301","Building Science and Technology"
,,"040303","Building Construction Management"
,,"040305","Building Surveying"
,,"040307","Building Construction Economics"
,,"040309","Bricklaying and Stonemasonry"
,,"040311","Carpentry and Joinery"
,,"040313","Ceiling, Wall and Floor Fixing"
,,"040315","Roof Fixing"
,,"040317","Plastering"
,,"040319","Furnishing Installation"
,,"040321","Floor Coverings"
,,"040323","Glazing"
,,"040325","Painting, Decorating and Sign Writing"
,,"040327","Plumbing"
,,"040329","Scaffolding and Rigging"
"1004","Surveying","031101","Surveying"
,,"031103","Mapping Science"
,,"031199","Geomatic Engineering, n.e.c."
"1099","Other Built Environment","040199","Architecture and Urban Environment, n.e.c."
,,"040399","Building, n.e.c."
"11","AGRICULTURE, RENEWABLE RESOURCES",,
"1101","Agriculture","010709","Soil Science"
,,"010711","Hydrology"
,,"010903","Botany"
,,"019905","Food Science and Biotechnology"
,,"050101","Agricultural Science"
,,"050103","Wool Science"
,,"050199","Agriculture, n.e.c."
,,"050301","Horticulture"
,,"050303","Viticulture"
"1102","Animal Husbandry","031705","Marine Craft Operation"
,,"050105","Animal Husbandry"
,,"050701","Aquaculture"
,,"050799","Fisheries Studies, n.e.c."
"1103","Forestry, Parks, Wildlife","050501","Forestry Studies"
,,"050901","Land, Parks and Wildlife Management"
"1104","Veterinary Science","061101","Veterinary Science"
,,"061103","Veterinary Assisting"
,,"061199","Veterinary Studies, n.e.c."
"1199","Other Agriculture, Renewable Resources","050999","Environmental Studies, n.e.c."
,,"059901","Pest and Weed Control"
,,"059999","Agriculture, Environmental and Related Studies, n.e.c."

"Source: Australian Bureau of Statistics, Appendix 11, Higher Education Discipline Groups - ASCED Correspondence Table 2001"
